DOI,Ano,WE,W-graphite,W-GCE,W-G,W-GO,W-rGO,W-Au,W-Cu,W-Pd,W-C,W-In,W-Sn,W-F,W-Fe,W-Ni,W-Polymer,W-Ti,W-N,W-Pt,W-Si,W-Al,W-graphene,Material,OH,O,La,Ni,Na,Zn,Cd,Ca,Pt,Ir,Pd,C,Cu,Ag,Ru,Al,Rh,Au,Co,Mn,Br,Mg,B,Fe,Pb,Zr,Ce,S,Si,N,V,Nb,Ta,Sn,P,In,Ti,Bi,Sb,Cr,W,Mo,Se,Ge,Te,Org,Polymer,Aniline,rGO,GO,G,MOF,Nano,CNT,Eletrolyte,pH,El_conc,reference,Pot_Onset_V (SHE),Pot_Ox_V (SHE),Ox_Onset,J__mA_cm,methanol,ethanol,concentration,analyte
10.1016/j.ijhydene.2022.10.237,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PtRu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,,,,,48.14,1,0,1,methanol
10.1016/j.jelechem.2022.117038,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pd-Mo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,12.7,0.5,Ag/AgCl,-0.101,-0.001,0.1,3.5,1,0,1,methanol
10.3390/gels9030238,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NiFe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Ag/AgCl,0.629,0.799,0.17,190,1,0,1,methanol
10.3390/ nano13040679,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ZrO2-NiO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12.7,0.5,Ag/AgCl,,0.719,,26.6,1,0,0.7,methanol
10.3390/ nano13040679,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ZrO2-NiO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12.7,0.5,Ag/AgCl,,0.719,,17.3,0,1,0.5,ethanol
10.3390/ nano13040679,2023,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ZnFe2O4-ZrO2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12.7,0.5,Ag/AgCl,,0.549,,104.75,1,0,1,methanol
10.3390/ nano13040679,2023,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr-MOF-PANI-Ni,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,NaOH,14,1,Ag/AgCl,,0.949,,291.6,1,0,0.5,methanol
10.3390/ nano13040679,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ni-Au-Pd,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12.7,0.5,Ag/AgCl,,0.799,,8.85,0,1,1,ethanol
10.3390/ nano13040679,2023,FTO,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NiO-Y2O3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,12.7,0.5,Ag/AgCl,,0.849,,6.2,1,0,0.6,methanol
10.3390/ nano13040679,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mn3O4-CeO2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Ag/AgCl,,0.679,,16.5,1,0,1,methanol
10.3390/ nano13040679,2023,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MnCo2O4-NiCo2O4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12.7,0.5,Ag/AgCl,,0.779,,24.76,1,0,2,methanol
10.1021/acsaem.2c03894,2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtCuNi,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,SCE,0.744,0.944,0.2,3.59,1,0,1,methanol
10.1021/acsaem.2c03894,2023,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtCuNi,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,SCE,0.694,0.944,0.25,4.8,0,1,1,ethanol
10.1016/j.jcis.2022.10.057,2023,G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ni-NiO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Ag/AgCl,0.549,0.749,0.2,79.5,1,0,1,methanol
10.1016/j.inoche.2023.110548,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Pd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Ag/AgCl,0.099,0.249,0.15,,1,0,0.1,methanol
10.1007/s10008-022-05341-5,2023,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LaNiO3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,14,1,Hg/HgO,1.009,1.24,0.231,52,1,0,0.5,methanol
10.2139/ssrn.4388383,2023,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Pt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,RHE,0.541,0.741,0.2,0.088,1,0,1,methanol
10.1021/acscatal.2c02923,2023,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Co2NiO4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,14,1,RHE,,0.574,,10,1,0,0.1,methanol
10.1021/acscatal.2c02923,2023,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Co2NiO4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,14,1,RHE,0.594,0.794,0.2,10,0,1,0.1,ethanol
10.1021/acs.jpcc.2c07445,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Pd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,-0.056,0.094,0.15,,1,0,1,methanol
10.1016/j.mcat.2022.112874,2023,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PtPd-S2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,Ag/AgCl,0.288,0.799,0.511,86.71,1,0,1,methanol
10.1016/j.jpcs.2022.110688,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ZnO-Fe3O4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,,,,,25,1,0,0.1,methanol
10.1016/j.jpcs.2022.110688,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ZnO-Fe3O4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,,,,,5,0,1,0.1,ethanol
10.1016/j.ijhydene.2022.05.113,2022,graphitic ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Au-NiOx,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,0.594,,,32.5,1,0,1,methanol
10.1016/j.ijhydene.2022.05.113,2022,Pd/C,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,-0.386,,,5.6,1,0,1,methanol
10.1016/j.ijhydene.2022.05.113,2022,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NiCO2O4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,0.794,,,78,1,0,1,methanol
10.1016/j.ijhydene.2022.05.113,2022,carbon black,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PtPd-gC3N4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,-0.306,,,5.24,1,0,1,methanol
10.1016/j.ijhydene.2022.05.113,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NiO-Ni,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,0.534,,,4,1,0,1,methanol
10.1016/j.jiec.2021.11.031,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZnO-CdO-SnO2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phosphate,7,,,,,,,1,0,0.001,methanol
10.3390/catal12101257,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PtRu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HClO4,1,0.1,RHE,0.341,0.841,0.5,,1,0,0.5,methanol
10.1080/00958972.2022.2137794,2022,GCE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni-phenanthroline-H2O,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,KOH,12,0.1,Hg/HgO,1.24,1.44,0.2,21.2,1,0,1,methanol
10.1021/acs.inorgchem.2c02597,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PdCuNiP,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SCE,-0.156,0.044,0.2,,0,1,1,ethanol
10.1016/j.apsadv.2022.100235,2022,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Pd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,12,0.1,Ag/AgCl,-0.521,,,,0,1,0.1,ethanol
10.1021/acsaem.2c00523,2022,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Rh-RhOx-Ni(OH)2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.186,0.024,0.21,,1,0,1,methanol
10.1021/acsaem.2c00523,2022,rGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Rh-RhOx-Ni(OH)2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,RHE,-0.306,-0.0459999999999999,0.26,,0,1,1,ethanol
10.1016/j.electacta.2022.140743,2022,GO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NiCu,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Ag/AgCl,0.649,0.82,0.171,208,1,0,2,methanol
10.1088/1361-6463/ac7619,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MnO2-NiO-MWCNTs,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,KOH,14,1,Ag/AgCl,0.699,0.899,0.2,0.262,1,0,1,methanol
10.1088/1361-6463/ac7619,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MnO2-NiO-MWCNTs,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,KOH,14,1,Ag/AgCl,0.679,0.799,0.12,0.148,0,1,1,ethanol
10.1002/er.8582,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PtCo-TiIrO2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,SHE,0.1,0.65,0.55,,1,0,0.002,methanol
10.1002/er.8582,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pt-TiIrO2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,SHE,0.2,0.65,0.45,,1,0,0.002,methanol
10.1002/er.8582,2022,Pt/C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,SHE,0.45,0.8,0.35,,1,0,0.002,methanol
10.1021/acssensors.2c01392,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PtAu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,13,1,Ag/AgCl,-0.301,-0.021,0.28,450,1,0,1,methanol
10.1021/acssensors.2c01392,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PtAu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,13,1,Ag/AgCl,-0.301,-0.021,0.28,700,0,1,1,ethanol
10.1016/j.jelechem.2022.116361,2022,GCE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PtBi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,Ag/AgCl,-0.451,-0.001,0.45,15.4,1,0,1,methanol
10.1002/adma.202206276,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtRhBiSnSb ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SHE,-0.226,-0.0259999999999999,0.2,,1,0,1,methanol
10.1002/adma.202206276,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PtRhBiSnSb ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,14,1,SHE,-0.276,-0.076,0.2,,0,1,1,ethanol
10.1016/j.fuel.2022.124424,2022,FTO,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Ni-PDPA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,KOH,12,0.1,Ag/AgCl,,0.849,,90,1,0,1,methanol
10.1007/s11581-022-04447-0,2022,graphite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p-nitroaniline/Ni(II) polymer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NaOH,12,0.1,SCE,0.544,0.844,0.3,,1,0,0.5,methanol
10.1149/MA2022-01552315mtgabs,2022,Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,sulfate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2SO4,1,0.5,RHE,0.491,0.741,0.25,0.35,0,1,0.031,ethanol
